image_id,coco_url,caption
179765,http://images.cocodataset.org/val2017/000000179765.jpg,A black Honda motorcycle parked in front of a garage.
190236,http://images.cocodataset.org/val2017/000000190236.jpg,An office cubicle with four different types of computers.
331352,http://images.cocodataset.org/val2017/000000331352.jpg,A small closed toilet in a cramped space.
517069,http://images.cocodataset.org/val2017/000000517069.jpg,Two women waiting at a bench next to a street.
182417,http://images.cocodataset.org/val2017/000000182417.jpg,A beautiful dessert waiting to be shared by two people
46378,http://images.cocodataset.org/val2017/000000046378.jpg,A cat eating a bird it has caught.
93437,http://images.cocodataset.org/val2017/000000093437.jpg,A shot of an elderly man inside a kitchen.
172330,http://images.cocodataset.org/val2017/000000172330.jpg,A cat in between two cars in a parking lot.
472678,http://images.cocodataset.org/val2017/000000472678.jpg,An office cubicle with multiple computers in it
314251,http://images.cocodataset.org/val2017/000000314251.jpg,A parade of motorcycles is going through a group of tall trees.
223747,http://images.cocodataset.org/val2017/000000223747.jpg,a man sleeping with his cat next to him
109976,http://images.cocodataset.org/val2017/000000109976.jpg,An all white kitchen with an electric stovetop. 
12667,http://images.cocodataset.org/val2017/000000012667.jpg,The telephone has a banana where the receiver should be.
482917,http://images.cocodataset.org/val2017/000000482917.jpg,"A dog sitting between its masters feet on a footstool watching tv
"
534605,http://images.cocodataset.org/val2017/000000534605.jpg,Man in motorcycle leathers standing in front of a group of bikes
289393,http://images.cocodataset.org/val2017/000000289393.jpg,Set of toy animals sitting in front of a red wooden wagon.
561256,http://images.cocodataset.org/val2017/000000561256.jpg,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.
338325,http://images.cocodataset.org/val2017/000000338325.jpg,A striped plane flying up into the sky as the sun shines behind it.
65485,http://images.cocodataset.org/val2017/000000065485.jpg,A dog driving an SUV in an open grass covered field.
226662,http://images.cocodataset.org/val2017/000000226662.jpg,A customized motorcycle with more in the background.
11511,http://images.cocodataset.org/val2017/000000011511.jpg,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. 
221754,http://images.cocodataset.org/val2017/000000221754.jpg,There is very little traffic at this city intersection.
249025,http://images.cocodataset.org/val2017/000000249025.jpg,An orange reddish rose in a vase filled with water on top of a table.
